"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000868507","ROCKY MOUNTAIN ARSENAL","6550 GATEWAY RD","COMMERCE CITY","CO","80022","ADAMS","CO5210020769","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CO5210020769%22","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800357","https://echo.epa.gov/detailed-facility-report?fid=110000868507","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.833398 -104.842445"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002040201","US DOE OAK RIDGE NATIONAL LAB","1 BETHEL VALLEY ROAD","OAK RIDGE","TN","37830","ANDERSON","TN1890090003","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22TN1890090003%22","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404152","https://echo.epa.gov/detailed-facility-report?fid=110002040201","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.924719 -84.390139"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000317648","MANNKIND CORPORATION","1 CASPER ST.","DANBURY","CT","06810","FAIRFIELD","CTD000791095","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CTD000791095%22","","https://echo.epa.gov/detailed-facility-report?fid=110000317648","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.39457 -73.43674"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000318460","GM TRUCK GROUP LINDEN ASSEMBLY","1016 WEST EDGAR ROAD","LINDEN","NJ","07036","UNION","NJD002186690","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22NJD002186690%22","","https://echo.epa.gov/detailed-facility-report?fid=110000318460","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.618563 -74.254868"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000321036","AMSPEC CHEMICAL CO","751 WATER ST.","GLOUCESTER CITY","NJ","08030","CAMDEN","NJD000312371","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22NJD000312371%22","","https://echo.epa.gov/detailed-facility-report?fid=110000321036","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.888288 -75.128713"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000314204","PRATT & WHITNEY","113 WELLS STREET","NORTH BERWICK","ME","03906","YORK","MED000791681","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22MED000791681%22","","https://echo.epa.gov/detailed-facility-report?fid=110000314204","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.30808 -70.72914"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000314268","GENERAL DYNAMICS ATP","291 NORTH ST","SACO","ME","04072","YORK","MED001096791","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22MED001096791%22","","https://echo.epa.gov/detailed-facility-report?fid=110000314268","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.516484 -70.445545"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000315800","DELTA RUBBER CO SUB OF NN, INC","39 WAUREGAN RD.","DANIELSON","CT","06239","WINDHAM","CTD046238630","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CTD046238630%22","","https://echo.epa.gov/detailed-facility-report?fid=110000315800","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.79293 -71.88494"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000315864","AMERICAS STYRENICS POLYSTYRENE PLANT","1761 MILITARY HIGHWAY (RTE 12)","LEDYARD (GALES FERRY)","CT","06335","NEW LONDON","CTD001159730","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CTD001159730%22","","https://echo.epa.gov/detailed-facility-report?fid=110000315864","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.441954 -72.078853"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000315917","INTERNATIONAL WIRE WYRE WYND FACILITY (CLOSED)","77 ANTHONY ST.","JEWETT CITY","CT","06351","NEW LONDON","CTD002590461","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CTD002590461%22","","https://echo.epa.gov/detailed-facility-report?fid=110000315917","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.606261 -71.986416"
