"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000332319","RUETGERS ORGANICS CO/STATE COLLEGE","201 STRUBLE ROAD","STATE COLLEGE","PA","16801","CENTRE","PAD000436261","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300444","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.823611 -77.808331"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000338554","METACHEM PRODUCTS LLC","745 GOVERNOR LEA ROAD","NEW CASTLE","DE","19720","NEW CASTLE","DED041212473","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300058","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.599581 -75.635831"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000395199","HONEYWELL INTERNATIONAL INC","3330 SOUTH 3RD STREET","IRONTON","OH","45638","LAWRENCE","OHD043730217","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0504336","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:38.5057 -82.658"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000425736","KURT MANUFACTURING CO - MAIN STREET","5280 MAIN STREET NORTHEAST","FRIDLEY","MN","55421","ANOKA","MND059680165","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0503786","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:45.064411 -93.268361"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000457014","VAN DER HORST USA CORPORATION","419 E. GROVE ST.","TERRELL","TX","75160","KAUFMAN","TXD007357932","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0606869","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:32.734167 -96.273889"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000470204","ON SEMICONDUCTOR SCI LLC","5005 EAST MCDOWELL ROAD","PHOENIX","AZ","85008","MARICOPA","AZD009004177","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900517","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.461669 -111.9708"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000609609","BROWN & BRYANT","600 S DERBY ST","ARVIN","CA","93203","KERN","CAD052384021","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901425","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.203061 -118.822"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000616174","APPLIED ENVIRONMENTAL SERVICES","1 SHORE ROAD","GLENWOOD LANDING","NY","11547","NASSAU","NYD980535652","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0202121","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:40.823054 -73.646693"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000620356","LANGLEY AIR FORCE BASE/NASA LANGLEY RESEARCH CENTER","37 SWEENEY BLVD","HAMPTON","VA","23665","HAMPTON","VA2800005033","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0303768","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:37.069999 -76.358611"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000700983","BLUE RIDGE PLATING CO INC","171 GLENN BRIDGE RD","ARDEN","NC","28704","BUNCOMBE","NCD044447589","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406895","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.462372 -82.528358"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000702099","DEFENSE DEPOT MEMPHIS","2163 AIRWAYS BLVD","MEMPHIS","TN","38114","SHELBY","TN4210020570","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404159","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.093333 -90.003333"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000573317","ELKHART N. MAIN ST. WATERTREATMENT PLANT","921 N MAIN ST","ELKHART","IN","46514","ELKHART","IND980794358","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501813","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.696389 -85.979161"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000817821","DRAKE CHEMICAL SUPERFUND SITE","180 MYRTLE STREET","LOCK HAVEN","PA","17745","CLINTON","PAD003058047","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300701","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.129169 -77.443611"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000832699","PIPER AIRCRAFT INC","2926 PIPER DRIVE","VERO BEACH","FL","32960","INDIAN RIVER","FLD004054284","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400512","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:27.647499 -80.415555"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000850632","US DOE MOUND FACILITY","1 MOUND ROAD","MIAMISBURG","OH","45342","MONTGOMERY","OH6890008984","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0504935","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.6264 -84.2862"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000868507","ROCKY MOUNTAIN ARSENAL","6550 GATEWAY RD","COMMERCE CITY","CO","80022","ADAMS","CO5210020769","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22CO5210020769%22","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800357","https://echo.epa.gov/detailed-facility-report?fid=110000868507","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:39.833398 -104.842445"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000869187","AIRCO PLATING CO INC","3650 NORTHWEST 46TH STREET","MIAMI","FL","33142","MIAMI-DADE","FLD004145140","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400561","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:25.8152 -80.2559"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002530529","LANDIA CHEMICAL CO","1405 W OLIVE ST","LAKELAND","FL","33815","POLK","FLD042110841","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400627","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:28.039444 -81.979167"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002537844","FLORIDA AERO PRECISION INC","210 NEWMAN RD","LAKE PARK","FL","33403","PALM BEACH","FLD091471904","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400785","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:26.795278 -80.073889"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002665660","ALARK HARD CHROME","2777 MAIN ST","RIVERSIDE","CA","92501","RIVERSIDE","CAD098229214","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901694","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.991886 -117.367186"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002923007","FRONTIER FERTILIZER","4303 4309 SECOND ST","DAVIS","CA","95616","YOLO","CAD071530380","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901554","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:38.552588 -121.703615"
