Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
1600000US0107000,0,0.010959,0,0,0,0.0027397,0,0,0,0,0,0,0,0.0027397,0,0,0,0.0027397,0.0027397,0,0,0,0.0082192,0,0.0027397,0.0027397,0.0027397,0.0054645,0,0,0,0,0,0,0,0.0081967,0,0,0,0.0027322,0,0,0,0,0.0027397
1600000US0137000,0,0.0054795,0,0,0.0082192,0.0027397,0,0.0054645,0,0,0,0,0,0.0054795,0.0054795,0.0027322,0,0.0027397,0,0,0,0,0,0,0.0082192,0,0,0,0,0.0027397,0,0.0081967,0,0,0,0.0054645,0,0,0.0054795,0,0,0,0,0,0
1600000US0150000,0.013699,0,0.0027397,0,0,0.0054795,0,0,0,0,0.010959,0,0.0054795,0.0082192,0,0,0,0.0082192,0.0027397,0,0.0054795,0,0,0.0027322,0.0027397,0,0,0,0,0,0.0054795,0,0,0,0.0027397,0.0027322,0,0,0,0.0054645,0,0,0.0027397,0,0
1600000US0151000,0.0027397,0,0.0027397,0,0,0.0054795,0,0,0,0,0,0,0,0.0054795,0.0027397,0.0027322,0,0.010959,0,0,0,0,0.0054795,0.0027322,0.0027397,0,0,0.0054645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027397
1600000US0541000,0.0054795,0.0054795,0,0,0,0,0,0,0,0,0,0,0,0.010959,0.0054795,0,0,0,0,0,0,0,0.0027397,0.0027322,0.010959,0,0.0027397,0.0027322,0,0,0.0027397,0.019126,0,0,0,0,0.0027397,0.0027397,0,0,0,0,0,0,0.0027397
1600000US0412000,0.0082192,0.0054795,0.0054795,0,0.0027397,0,0.016438,0,0,0,0,0.0054645,0,0,0.027397,0,0,0.0027397,0.0054795,0.0027322,0.030137,0.0054795,0,0,0.0027397,0,0,0,0.0027397,0,0.010959,0.0054645,0,0,0.0027397,0,0.0082192,0,0.0054795,0.0081967,0.0054795,0.0054795,0.013699,0.0054645,0.019178
1600000US0427820,0.0054795,0.0054795,0.0054795,0,0,0,0.010959,0,0,0,0,0.0054645,0,0,0.010959,0,0,0.0027397,0.0082192,0.0054645,0.019178,0.0027397,0.0027397,0,0.0027397,0,0,0,0,0,0.0082192,0.0027322,0.0027397,0,0.0027397,0,0.013699,0,0,0.0081967,0,0.0027397,0.021918,0.0081967,0.019178
1600000US0446000,0.0082192,0.0054795,0.0027397,0,0.0027397,0,0.016438,0,0,0,0,0.0027322,0,0,0.030137,0,0,0.0027397,0.0054795,0.0027322,0.016438,0.010959,0.0027397,0,0.0027397,0,0,0,0,0,0.010959,0.0027322,0,0,0.0027397,0,0.0054795,0,0.0054795,0.0081967,0.0027397,0.0054795,0.032877,0.0054645,0.016438
1600000US0454050,0.0054795,0.010959,0.0054795,0,0,0,0.010959,0,0,0,0,0.013661,0,0.0027397,0.0082192,0,0,0.0027397,0.0082192,0.0054645,0.013699,0.0027397,0.0027397,0,0,0,0,0,0,0,0.0082192,0.0027322,0.0027397,0,0.010959,0,0.013699,0,0,0.0081967,0,0,0.021918,0.0081967,0.030137
1600000US0455000,0.0082192,0.0054795,0.0054795,0,0,0.0054795,0.010959,0,0,0,0.0054795,0.0054645,0,0,0.013699,0,0,0.0027397,0.0054795,0.0054645,0.024658,0.0027397,0.0027397,0,0.0027397,0,0,0,0,0,0.013699,0.0027322,0,0,0.0027397,0,0.016438,0,0,0.0081967,0.0027397,0.0027397,0.019178,0.0054645,0.019178
1600000US0465000,0.0054795,0.0054795,0.0054795,0,0.0027397,0.0054795,0.013699,0,0,0,0,0.0054645,0,0,0.013699,0,0,0.0027397,0.0054795,0.0027322,0.016438,0,0.0027397,0,0.0027397,0,0,0,0.0027397,0,0.010959,0,0,0,0.0027397,0,0.0082192,0,0,0.0081967,0.0027397,0.0054795,0.0054795,0.0054645,0.016438
1600000US0471510,0.0054795,0.010959,0.0054795,0,0,0,0.010959,0,0.0027397,0.0027397,0.010959,0.0054645,0,0,0.019178,0,0,0.0027397,0.010959,0.010929,0.019178,0.0027397,0.0027397,0,0,0.0082192,0,0,0,0,0.0054795,0,0,0,0.010959,0,0.013699,0,0,0.0081967,0,0.0027397,0.0082192,0.0081967,0.032877
1600000US0473000,0.0054795,0.0054795,0.0054795,0,0.0027397,0.0054795,0.013699,0.0027322,0,0,0,0.0054645,0,0,0.030137,0,0,0.0027397,0.0054795,0.0027322,0.021918,0,0.0027397,0,0.0027397,0,0,0,0.0027397,0,0.010959,0.0027322,0,0,0.0027397,0,0.0082192,0,0,0.0081967,0.0082192,0.0027397,0.024658,0.0054645,0.016438
1600000US0477000,0.0027397,0.0082192,0.0054795,0.0054645,0,0,0.016438,0.021858,0,0,0.0082192,0.0081967,0.0027397,0.0082192,0.024658,0.0027322,0,0,0.0027397,0.0081967,0.010959,0.0054795,0.0054795,0.0054645,0,0.0082192,0,0,0,0,0.013699,0,0,0,0,0,0.0054795,0,0,0.0081967,0.0027397,0,0.035616,0.010929,0.0082192
1600000US0602000,0,0,0.0082192,0,0.0027397,0,0.0082192,0.013661,0.027397,0.010959,0,0.0081967,0,0,0.010959,0,0.0027397,0.0027397,0.024658,0.0027322,0.0082192,0.021918,0.0027397,0.0027322,0.0027397,0,0.0027397,0.021858,0,0.0027397,0.010959,0.010929,0.010959,0,0.0054795,0.0054645,0.021918,0,0.0027397,0.010929,0,0.0027397,0,0.0081967,0
1600000US0602252,0,0,0,0.0027322,0,0.0027397,0.030137,0.0027322,0.024658,0.0027397,0.0027397,0.038251,0.0027397,0,0.0054795,0,0.0054795,0.024658,0.013699,0.010929,0.0082192,0.013699,0.0027397,0.0054645,0.0054795,0,0,0.010929,0,0.0082192,0,0.0081967,0.0054795,0.013699,0.010959,0,0.0054795,0.0054795,0.016438,0.016393,0,0.0054795,0.0082192,0.0054645,0
1600000US0603526,0,0,0.0082192,0,0,0,0.013699,0.0027322,0.030137,0.010959,0.0027397,0.0027322,0.0027397,0,0.0082192,0,0.0027397,0.0027397,0.024658,0,0.0082192,0.030137,0,0,0,0,0,0.021858,0.010959,0,0.010959,0.0054645,0.010959,0,0.0027397,0.0081967,0.016438,0,0.010959,0.019126,0.0054795,0,0.0082192,0,0
